restaurant_name,restaurant_url,restaurant_link,original_location,country,region,province,city,address,vegetarian_friendly,vegan_options,gluten_free,cuisines,popularity_detailed,popularity_generic,price_level,price_range,avg_rating,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
Achari,https://www.tripadvisor.co.uk/Restaurant_Review-g191261-d1319068,g191261-d1319068,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""West Drayton""]",England,Greater London,,West Drayton,"361-363 Sipson Road Sipson, West Drayton UB7 0HU England",true,true,true,"Indian, Asian, Balti",#2 of 48 Restaurants in West Drayton,#2 of 57 places to eat in West Drayton,€€-€€€,,4.5,244,104,23,10,9,4.5,4.5,4,4.5,"curry, chicken, garlic naan, great restaurant, indian restaurant"
Ada Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g580413-d7705874,g580413-d7705874,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Enfield""]",England,Greater London,,Enfield,"43 Silver Street, Enfield EN1 3TN England",true,true,true,"Mediterranean, Turkish, Middle Eastern",#21 of 133 Restaurants in Enfield,#25 of 200 places to eat in Enfield,€€-€€€,,4,60,36,10,6,13,4,4,4,,"couscous, salad, bread, turkish restaurant, highly reccomend this place"
Adesso Sicilia,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d1755472,g191301-d1755472,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond""]",England,Greater London,,Richmond,"24 Hill Rise, Richmond TW10 6UA England",true,true,false,Italian,#31 of 117 Restaurants in Richmond,#60 of 280 places to eat in Richmond,€€-€€€,€12-€58,4,149,106,38,24,24,4,4,4,4,"pasta, arancini, cod, sicilian food, house red"
Afters,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d3337070,g504167-d3337070,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"54 South End, Croydon CR0 1DP England",false,false,false,,#4 of 10 Dessert Spots in Croydon,#233 of 490 places to eat in Croydon,€€-€€€,,3.5,36,30,12,11,28,3.5,3.5,3,3.5,
Agora,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d13010236,g2549055-d13010236,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Beckenham""]",England,Greater London,,Beckenham,"66 High Street, Beckenham BR3 1ED England",true,true,true,"Greek, Mediterranean",#19 of 88 Restaurants in Beckenham,#21 of 109 places to eat in Beckenham,€€-€€€,,4.5,77,13,7,4,3,4.5,4.5,4.5,,"vegetarian plate, stifado, tsatsiki, salad, rice"
Agra,https://www.tripadvisor.co.uk/Restaurant_Review-g2549055-d6999307,g2549055-d6999307,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Beckenham""]",England,Greater London,,Beckenham,"406 Upper Elmers End Road Eden Park, Beckenham BR3 3HG England",true,true,true,"Indian, Balti, Bangladeshi, Asian",#20 of 88 Restaurants in Beckenham,#22 of 109 places to eat in Beckenham,€€-€€€,€9-€15,5,233,8,6,4,3,5,5,4.5,4.5,"curry, rice, poppadom, king prawns, indian restaurant"
Agra Tandoori Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g1752250-d3477803,g1752250-d3477803,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Kingston upon Thames"", ""Surbiton""]",England,Greater London,Kingston upon Thames,Surbiton,"142 Ewell Road, Surbiton, Kingston upon Thames KT6 6HE England",true,true,true,"Indian, Asian, Balti",#26 of 88 Restaurants in Surbiton,#28 of 115 places to eat in Surbiton,€€-€€€,,4,59,26,8,6,7,4.5,4.5,4.5,4.5,"curry, lamb shank, sag aloo, naan, food is excellent"
Ahimsa The Vegan Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g7380842-d12000748,g7380842-d12000748,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Pinner""]",England,Greater London,,Pinner,"7 Red Lion Parade Bridge Street, Pinner HA5 3JD England",true,true,true,"Cafe, Healthy, International",#13 of 49 Restaurants in Pinner,#17 of 75 places to eat in Pinner,€€-€€€,€2-€17,4,58,27,10,6,8,4,4,4,,"wraps, tofu, cakes, salad, falafel"
Akbar Tandoori Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g504175-d3636233,g504175-d3636233,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Kingston upon Thames""]",England,Greater London,,Kingston upon Thames,"54 Richmond Road, Kingston upon Thames KT2 5EH England",true,true,true,"Indian, Asian, Arabic, Balti",#61 of 170 Restaurants in Kingston upon Thames,#107 of 365 places to eat in Kingston upon Thames,€€-€€€,,4.5,46,18,2,0,6,4.5,4.5,4.5,4,"curry, naan bread, local indian, the food is great, takeaway"
Aksular Enfieldtown,https://www.tripadvisor.co.uk/Restaurant_Review-g580413-d7693945,g580413-d7693945,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Enfield""]",England,Greater London,,Enfield,"8-10 Silver Street, Enfield EN1 3ED England",true,true,false,"Mediterranean, Turkish, Middle Eastern",#10 of 133 Restaurants in Enfield,#11 of 200 places to eat in Enfield,€€-€€€,,4,94,54,16,9,17,4.5,4,4.5,,"hummus, rice, baklava, lamb, kebab"
Aksular Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g580413-d6612444,g580413-d6612444,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Enfield""]",England,Greater London,,Enfield,"510B Hertford Road, Enfield EN3 5SS England",true,false,false,"Turkish, Middle Eastern",#54 of 133 Restaurants in Enfield,#65 of 200 places to eat in Enfield,€€-€€€,,3.5,59,38,18,13,23,4,4,4.5,4,"salad, lahmacun, salmon, turkish restaurant, buffet breakfast"
Al Boccon Di'vino is Non Solo Vino,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d1015408,g191301-d1015408,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond""]",England,Greater London,,Richmond,"14A Red Lion Street, Richmond TW9 1RW England",true,false,false,"Italian, Mediterranean",#4 of 117 Restaurants in Richmond,#7 of 280 places to eat in Richmond,€€-€€€,€33-€132,4.5,758,94,34,18,18,4.5,4.5,4.5,4.5,"suckling pig, antipasti, scallops, panna cotta, prosciutto"
Al Forno,https://www.tripadvisor.co.uk/Restaurant_Review-g2365649-d3741279,g2365649-d3741279,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""New Malden""]",England,Greater London,,New Malden,"107 High Street, New Malden KT3 4BP England",true,true,true,"Italian, Mediterranean, Pizza",#2 of 56 Restaurants in New Malden,#2 of 72 places to eat in New Malden,€€-€€€,,4.5,209,92,26,9,6,4.5,4.5,4.5,4.5,"pasta, stew, great tasting food, great atmosphere, special occasion"
Al Forno Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g504175-d1905221,g504175-d1905221,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Kingston upon Thames""]",England,Greater London,,Kingston upon Thames,"1 Townsend Parade High Street, Kingston upon Thames SW20 9AZ England",true,true,true,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian",#13 of 170 Restaurants in Kingston upon Thames,#26 of 365 places to eat in Kingston upon Thames,€€-€€€,,4,436,125,62,42,58,4,4,4,4,"pizza, tagliolini, seafood, steak, calamari"
Al Souk,https://www.tripadvisor.co.uk/Restaurant_Review-g580420-d5207454,g580420-d5207454,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ilford""]",England,Greater London,,Ilford,"36 Woodford Avenue Gants Hill, Ilford IG2 6XQ England",false,false,false,"Lebanese, Middle Eastern, Mediterranean, Grill",#175 of 217 Restaurants in Ilford,#198 of 283 places to eat in Ilford,€€-€€€,,3.5,55,23,24,18,16,4,4,3.5,3.5,
Al-Qasr,https://www.tripadvisor.co.uk/Restaurant_Review-g580420-d7075601,g580420-d7075601,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ilford""]",England,Greater London,,Ilford,"308 Ley Street, Ilford IG1 4BS England",true,true,false,"Indian, Asian, Pakistani",#5 of 217 Restaurants in Ilford,#5 of 283 places to eat in Ilford,€€-€€€,€8-€21,4,229,67,30,21,41,4,4,4,4.5,"haleem, keema naan, chicken, kebab, salad"
Albany Spice,https://www.tripadvisor.co.uk/Restaurant_Review-g7377416-d10062307,g7377416-d10062307,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ealing"", ""Brentford""]",England,Greater London,Ealing,Brentford,"1 Albany Parade, High Street 1 Albany Parade, Brentford, Ealing TW8 0JW England",true,true,false,"Indian, Asian, Balti, Bangladeshi",#1 of 48 Restaurants in Brentford,#1 of 57 places to eat in Brentford,€€-€€€,€6-€17,4.5,196,44,10,2,3,4.5,5,5,,"curry, poppadoms, chicken, murgh, shop next door"
Alberello Italian restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g1076982-d2435820,g1076982-d2435820,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bexley""]",England,Greater London,,Bexley,"80 Bexley High Street, Bexley DA5 1LB England",true,false,true,"Italian, Mediterranean, European",#10 of 37 Restaurants in Bexley,#10 of 44 places to eat in Bexley,€€-€€€,€18-€41,4,142,62,16,19,14,4,4,4,4,"trifle, mussels, dover sole, veal, cheesecake"
Aligor,https://www.tripadvisor.co.uk/Restaurant_Review-g1439404-d2689363,g1439404-d2689363,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bexleyheath""]",England,Greater London,,Bexleyheath,"270 Broadway, Bexleyheath DA6 8BE England",true,false,false,"Indian, Balti, Bangladeshi, Asian",#34 of 83 Restaurants in Bexleyheath,#41 of 110 places to eat in Bexleyheath,€€-€€€,,4,58,39,11,11,16,4,4,4,4,"naan, rice, prompt service, fantastic food, takeaway"
All Bar One Sutton,https://www.tripadvisor.co.uk/Restaurant_Review-g504182-d1010141,g504182-d1010141,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Sutton""]",England,Greater London,,Sutton,"2 Hill Road, Sutton SM1 1DZ England",true,true,false,"Bar, British, Wine Bar, International",#16 of 130 Restaurants in Sutton,#18 of 213 places to eat in Sutton,€€-€€€,€5-€17,4,91,80,36,14,19,4,4,3.5,4,"burger, chorizo, pad thai, friendly waitress, catch up"
Allegro Cafe & Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g1752250-d2209605,g1752250-d2209605,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Kingston upon Thames"", ""Surbiton""]",England,Greater London,Kingston upon Thames,Surbiton,"4 Victoria Road, Surbiton, Kingston upon Thames KT6 4JU England",true,false,true,"Italian, Mediterranean",#19 of 88 Restaurants in Surbiton,#21 of 115 places to eat in Surbiton,€€-€€€,,4.5,72,36,9,5,6,4.5,4.5,4.5,4,"cannelloni, daily specials board, food is excellent, lovely meal, friday night"
Amera Rani,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d2667377,g504167-d2667377,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"248 Brighton Road, Croydon CR2 6AH England",true,false,false,"Indian, Asian, Balti",#34 of 340 Restaurants in Croydon,#44 of 490 places to eat in Croydon,€€-€€€,,4.5,126,34,15,9,11,4.5,4.5,4.5,4,"curry, rice, bhindi, poppadoms, bread"
American Way,https://www.tripadvisor.co.uk/Restaurant_Review-g504182-d2514781,g504182-d2514781,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Sutton""]",England,Greater London,,Sutton,"38 The Broadway, Sutton SM3 8BD England",false,false,false,"Diner, American",#37 of 130 Restaurants in Sutton,#43 of 213 places to eat in Sutton,€,,3.5,58,39,13,13,18,4,4,4,4,"burger, great milkshakes, cheam village, lovely food, scrum"
An Nam Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d1117521,g504167-d1117521,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"544 Purley Way, Croydon CR0 4NZ England",true,true,false,"Asian, Vietnamese",#52 of 340 Restaurants in Croydon,#67 of 490 places to eat in Croydon,€€-€€€,€12-€19,4,69,38,11,10,12,4,3.5,4,3.5,"summer rolls, noodles, spare ribs, vietnamese food, wing yip"
Anabella's Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d7045315,g504167-d7045315,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"299 High Street, Croydon CR0 1QL England",true,true,true,"Mediterranean, European, Turkish, Grill",#7 of 340 Restaurants in Croydon,#8 of 490 places to eat in Croydon,€€-€€€,€6-€41,4.5,172,37,12,5,4,4.5,4.5,4.5,4.5,"lamb, halloumi, this small restaurant, lovely atmosphere, fresh ingredients"
Anglesey Arms,https://www.tripadvisor.co.uk/Restaurant_Review-g1637597-d4191662,g1637597-d4191662,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bromley""]",England,Greater London,,Bromley,"90 Palace Road, Bromley BR1 3JX England",true,true,false,"Bar, British, Pub",#14 of 176 Restaurants in Bromley,#31 of 415 places to eat in Bromley,€€-€€€,,5,65,4,0,1,0,5,5,5,,"sunday roast, roast potatoes, pork, lovely friendly atmosphere, huge portions"
Anjums,https://www.tripadvisor.co.uk/Restaurant_Review-g528814-d5423652,g528814-d5423652,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Hounslow"", ""Isleworth""]",England,Greater London,Hounslow,Isleworth,"552 London Road, Isleworth, Hounslow TW7 4EP England",true,true,false,"Indian, Asian, Balti",#10 of 42 Restaurants in Isleworth,#13 of 52 places to eat in Isleworth,€€-€€€,€12-€23,4,54,26,6,8,9,4,4.5,4,4.5,
Anna's Thai,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d2628592,g504167-d2628592,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"281 High Street Cro 1ux, Croydon CR0 1QH England",true,true,false,"Asian, Thai",#336 of 340 Restaurants in Croydon,#412 of 490 places to eat in Croydon,€€-€€€,,3,38,39,24,26,69,2.5,3,3,2.5,
Annapurna Nepalese Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g528819-d1734348,g528819-d1734348,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Twickenham""]",England,Greater London,,Twickenham,"231 Powder Mill Lane Whitton, Twickenham TW2 6EH England",true,true,false,"Indian, Nepalese, Asian",#34 of 138 Restaurants in Twickenham,#35 of 174 places to eat in Twickenham,€€-€€€,€17-€29,4.5,163,30,5,6,9,4.5,4.5,4.5,4,
Annapurna Nepalese Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d5418201,g191301-d5418201,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond""]",England,Greater London,,Richmond,"199 Upper Richmond Road West East Sheen, Richmond SW14 8QT England",true,false,false,"Asian, Nepalese, Indian",#37 of 117 Restaurants in Richmond,#75 of 280 places to eat in Richmond,€€-€€€,,4.5,72,16,5,0,6,4.5,4.5,4.5,4.5,
Annayu Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g191260-d6560606,g191260-d6560606,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Hayes""]",England,Greater London,,Hayes,"140 Bath Road, Hayes UB3 5AW England",true,true,true,"Indian, Asian",#3 of 84 Restaurants in Hayes,#3 of 101 places to eat in Hayes,€€-€€€,€21-€69,4.5,480,120,48,23,10,4.5,4.5,4.5,4.5,"monkfish, butter chicken, poppadoms, curry, malai kofta"
Anokhi,https://www.tripadvisor.co.uk/Restaurant_Review-g580413-d15656242,g580413-d15656242,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Enfield""]",England,Greater London,,Enfield,"757 Green Lanes Winchmore Hill, Enfield N21 3SA England",true,true,true,"Indian, Asian, Healthy",#4 of 133 Restaurants in Enfield,#4 of 200 places to eat in Enfield,€€-€€€,€8-€23,5,106,10,1,2,1,5,5,5,,"curry, prawn puri, samosas, naan bread, lamb"
Antipodea,https://www.tripadvisor.co.uk/Restaurant_Review-g191301-d13302669,g191301-d13302669,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond""]",England,Greater London,,Richmond,"30 Hill Street, Richmond TW9 1TW England",true,true,true,Australian,#68 of 117 Restaurants in Richmond,#138 of 280 places to eat in Richmond,€€-€€€,€8-€58,4,59,33,14,10,19,4,4,3.5,,"brunch, turkish eggs, barramundi, pancakes, burger"
Antipodea Kew,https://www.tripadvisor.co.uk/Restaurant_Review-g1466790-d12059724,g1466790-d12059724,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Richmond"", ""Kew""]",England,Greater London,Richmond,Kew,"9 Station Approach, Kew, Richmond TW9 3QB England",true,true,true,Australian,#9 of 21 Restaurants in Kew,#10 of 25 places to eat in Kew,€€-€€€,,4,136,76,57,34,23,4,4,3.5,,"brunch, pide, fries, scallops, pasta"
Apatura Turkish BBQ Restaurant & Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d2015662,g504167-d2015662,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"14 South End Surrey, Croydon CR0 1DL England",true,true,true,"Bar, Wine Bar, Barbecue, Turkish",#13 of 340 Restaurants in Croydon,#15 of 490 places to eat in Croydon,€€-€€€,€12-€17,4,198,69,29,15,19,4,4.5,4,4,"nachos, mixed grill, chicken dish, bread, turkish food"
AppleYard,https://www.tripadvisor.co.uk/Restaurant_Review-g1639613-d17560626,g1639613-d17560626,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Sidcup""]",England,Greater London,,Sidcup,"161 Station Road, Sidcup DA15 7AA England",false,false,true,"Spanish, Mediterranean, Wine Bar, Grill, Catalan",#34 of 93 Restaurants in Sidcup,#36 of 111 places to eat in Sidcup,€€-€€€,€6-€40,4,40,13,11,13,6,4,4,3.5,,"pork cheeks, baked camembert, croquetas, shepherds pie, sunday roast"
Aqua Bar and Gril,https://www.tripadvisor.co.uk/Restaurant_Review-g1637597-d3658886,g1637597-d3658886,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Bromley""]",England,Greater London,,Bromley,"East Street Br11qn, Bromley BR1 1QN England",true,true,true,"Mediterranean, European",#19 of 176 Restaurants in Bromley,#38 of 415 places to eat in Bromley,€€-€€€,,4,270,164,75,42,43,4,4,4,4,"steak, meatballs, duck, salad, potatoes"
Aqua Mediterranean Bar & Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g504167-d2064518,g504167-d2064518,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Croydon""]",England,Greater London,,Croydon,"33-35 South End, Croydon CR0 1BE England",true,true,true,"Mediterranean, European",#19 of 340 Restaurants in Croydon,#23 of 490 places to eat in Croydon,€€-€€€,€17-€29,4,163,144,64,35,21,4,4,4,3.5,"steak, pork belly, creme brulee, scallops, mash"
Aqua Restaurant Bar and Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g12684006-d10389656,g12684006-d10389656,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Petts Wood""]",England,Greater London,,Petts Wood,"Station Square Station Square, The Estate Office, Petts Wood BR5 1LZ England",true,false,true,"Mediterranean, European",#3 of 7 Restaurants in Petts Wood,#3 of 8 places to eat in Petts Wood,€€-€€€,,3.5,88,53,33,26,30,4,3.5,3.5,,"mixed grill, scallops, cheesecake, sirloin, spaghetti"
Aquarius,https://www.tripadvisor.co.uk/Restaurant_Review-g1869831-d3267383,g1869831-d3267383,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ruislip""]",England,Greater London,,Ruislip,"90 Victoria Road, Ruislip HA4 0AL England",false,false,true,"Seafood, Fast food, British",#41 of 80 Restaurants in Ruislip,#43 of 104 places to eat in Ruislip,€€-€€€,,4.5,145,21,12,11,11,4.5,4.5,4.5,4,"fish and chips, mediterranean salad, homemade tartar sauce, large chips, nice smile"
Arena Greek Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g528820-d1408827,g528820-d1408827,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Wembley""]",England,Greater London,,Wembley,"307 Harrow Road, Wembley HA9 6BD England",true,true,false,"Mediterranean, Greek",#11 of 157 Restaurants in Wembley,#11 of 206 places to eat in Wembley,€€-€€€,€17-€35,4.5,65,33,7,5,2,4.5,4.5,4.5,4,
Arena Lounge Bar Restaurant & Hotel,https://www.tripadvisor.co.uk/Restaurant_Review-g528820-d19740969,g528820-d19740969,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Wembley""]",England,Greater London,,Wembley,"652 Harrow Road Corner of Chaplin Road & Harrow Road, Wembley HA0 2HA England",true,true,false,"Indian, Asian",#14 of 157 Restaurants in Wembley,#14 of 206 places to eat in Wembley,€€-€€€,€23-€46,5,48,3,0,0,0,,,,,"chilli paneer, amazing indian food, lovely dinner, service was excellent, be visiting again"
Arens Bar & Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g7380842-d4717399,g7380842-d4717399,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Pinner""]",England,Greater London,,Pinner,"Joel Street, Pinner HA5 2PR England",true,true,true,"Italian, French, Bar, British",#5 of 49 Restaurants in Pinner,#6 of 75 places to eat in Pinner,€€-€€€,,4.5,437,73,36,26,37,4.5,4.5,4,4.5,"sunday roast, steak, ribs, skewers, potatoes"
Arens Bar & Grill,https://www.tripadvisor.co.uk/Restaurant_Review-g1869831-d16585276,g1869831-d16585276,"[""Europe"", ""United Kingdom (UK)"", ""England"", ""Greater London"", ""Ruislip""]",England,Greater London,,Ruislip,"Ducks Hill Road The Six Bells, Ruislip HA4 7TP England",true,false,true,"Italian, French, International, British, Bar",#24 of 80 Restaurants in Ruislip,#24 of 104 places to eat in Ruislip,€€-€€€,€6-€57,4,76,12,10,3,17,4,4,4,,"brunch, unlimited prosecco, sunday roast, calamari, pork"
